Kategori,Nama Produk,Harga,Komisi,Link Affiliate
⚡ Elektronik,DIBEA HC20 Handheld Cordless Stick Vacuum Cleaner,"2,3JT",Rp230.000,https://s.shopee.co.id/6AgFxaiu4l?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
⚡ Elektronik,GARANSI 12 BULAN SYH Mall kipas industri 30 inch Kipas Mist ,"1,9JT",Rp193.500,https://s.shopee.co.id/40blNbr9T9?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
⚡ Elektronik,Smart TV 43 Inch TV Android 50 inch Digital TV LED 4K UHD An,"3,2JT",Rp159.649,https://s.shopee.co.id/8ARKLB2Wx1?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
⚡ Elektronik,MESIN CUCI 2 TABUNG  SANKEN TW 8600/  8827 / TW 9110 / TW 96,"1,4JT",Rp127.800,https://s.shopee.co.id/7KsDLgtHlI?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
⚡ Elektronik,Sanken Mesin Cuci 2 Dua Tabung TW-882GY Twin Tub 9Kg Silver,"1,7JT",Rp103.140,https://s.shopee.co.id/9AJrX3mJ22?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍳 Dapur & Masak,[EXCLUSIVE] Saluyar Oven Listrik Jepang 12L/22L/33L – Kontro,"399,0RB",Rp39.896,https://s.shopee.co.id/10y9o7OAQA?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍳 Dapur & Masak,"Blender Cosmos CB 172 P - Blender Daging & Bumbu, 350W, Gela","270,0RB",Rp21.600,https://s.shopee.co.id/2g6Nn8We6N?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍳 Dapur & Masak,[FREE PIRING] Panci Wajan Set 6 Pcs Anti Lengket - Panci Waj,"229,9RB",Rp20.691,https://s.shopee.co.id/3fyuyqMvYu?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍳 Dapur & Masak,CARLTON Oven Listrik LUNA 12 Liter Stainless Steel Low Watt,"355,0RB",Rp17.750,https://s.shopee.co.id/50UIZT8wJ4?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍳 Dapur & Masak,UPHOME Panci Presto Alumunium Serbaguna With Steamer / Anti ,"165,0RB",Rp16.500,https://s.shopee.co.id/8fNawCuysP?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍽️ Peralatan Makan,Clarice Ceramic Dinnerware Series Keramik Makan Peralatan Pi,"189,0RB",Rp18.900,https://s.shopee.co.id/6Kzg9j0KAM?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍽️ Peralatan Makan,Rantang Susun Stainless Anti Tumpah Kedap Udara Free Tas / T,"228,0RB",Rp13.680,https://s.shopee.co.id/8V4AjkFwnm?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍽️ Peralatan Makan,Mug Enamel Jadul Gelas Seng Blirik / Cangkir Burik 7cm,"115,0RB",Rp11.500,https://s.shopee.co.id/6pvwkfAs7C?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍽️ Peralatan Makan,Cherie Ruffled Ceramic Plate & Bowl Set | Set Piring Mangkok,"148,0RB",Rp10.360,https://s.shopee.co.id/5fjzMV2rWI?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🍽️ Peralatan Makan,"Piring Kaca Oval, Kotak, Persegi Panjang dan Bulat Kualitas ","80,5RB",Rp9.660,https://s.shopee.co.id/5L78xuGaB4?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎀 Pita & Dekorasi,Pita Lebaran Idul Fitri 4CM Pita Lebaran Premium Pita Satin ,"31,5RB",Rp1.890,https://s.shopee.co.id/2g6NnFNhRZ?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎀 Pita & Dekorasi,Pisau Pengupas Nanas / Garpu Pengupas Nanas Pineapple Peeler,"9,3RB",Rp1.022,https://s.shopee.co.id/8fNaw0rRQ3?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Amplop Lebaran,Amplop Lebaran Idul Fitri Isi 50 Pcs Angpau THR 2026 Premium,"40,0RB",Rp4.000,https://s.shopee.co.id/900RKuiYcf?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Amplop Lebaran,Amplop Lebaran 2026 Panjang Box Premium 50 pcs Tebal 100 gsm,"35,0RB",Rp3.500,https://s.shopee.co.id/1gDqbTrs2F?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Amplop Lebaran,Amplop Lebaran Premium ISI 50 Lembar Desain 2026 Berbagai Te,"35,0RB",Rp3.500,https://s.shopee.co.id/6Kzg9xak22?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Amplop Lebaran,Amplop Lebaran 2026 Aesthetic Panjag 50 Pcs Ampau THR Islami,"35,0RB",Rp3.500,https://s.shopee.co.id/AACOj52Sbv?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Amplop Lebaran,Amplop Lebaran/Amplop Idul Fitri,"32,9RB",Rp3.290,https://s.shopee.co.id/2Vmxay7IoH?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Lainnya,Goda Mecha Kingkong 199 Max Pro Sepeda Listrik Bluetooth,"12,6JT",Rp629.950,https://s.shopee.co.id/2LTXOVCJus?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Lainnya,LEKA - AP8000 Super Air Purifier - HEPA13 UV-C Ion Negatif,"1,6JT",Rp159.990,https://s.shopee.co.id/9fG8805zv8?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Lainnya,LEKA - DH6223 Breeze Dehum - Penyerap Kelembaban Udara,"1,4JT",Rp139.990,https://s.shopee.co.id/3LM4aNtgox?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Lainnya,Water Heater Listrik 10L 15L 30L Danko Low Watt | Danko Elec,"1,5JT",Rp103.250,https://s.shopee.co.id/2qPnzNMpmV?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🎁 Lainnya,Paket Plts Mini Sederhana 500watt + Panel Surya 50wp,"1,4JT",Rp54.000,https://s.shopee.co.id/4VY1yRGUOf?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏠 Dekorasi,PT. GMI - Hamra Makina Vacum Cleaner Khusus Karpet Masjid As,"20,8JT",Rp2.077.900,https://s.shopee.co.id/8fNawBZNzT?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏠 Dekorasi,STAR PROJECT Hiasan dinding besi motif daun bahan Frame Meta,"175,0RB",Rp35.000,https://s.shopee.co.id/5Anila4lWy?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
